statea,stateb,warstrtmnth,warstrtday,warstrtyr,warendmnth,warenday,warendyr,year,warolea,waroleb,wardyadrolea,wardyadroleb,outcomea,batdtha,batdthb,durindx,diff_in_days,diff_in_deaths,total_battle_dths
640,365,11,2,1853,2,1,1856,1855,1,3,1,3,1.0,45000.0,100000.0,1,821,-55000.0,145000.0
640,365,11,2,1853,2,1,1856,1856,1,3,1,3,1.0,45000.0,100000.0,3,821,-55000.0,145000.0
200,630,11,1,1856,4,5,1857,1856,1,3,1,3,1.0,500.0,1500.0,2,155,-1000.0,2000.0
200,630,11,1,1856,4,5,1857,1857,1,3,1,3,1.0,500.0,1500.0,1,155,-1000.0,2000.0
630,200,11,1,1856,4,5,1857,1856,3,1,3,1,3.0,1500.0,500.0,2,155,1000.0,2000.0
630,200,11,1,1856,4,5,1857,1857,3,1,3,1,3.0,1500.0,500.0,1,155,1000.0,2000.0
220,300,5,20,1859,7,11,1859,1859,1,3,1,3,1.0,12500.0,7500.0,1,52,5000.0,20000.0
300,220,5,20,1859,7,11,1859,1859,3,1,3,1,3.0,7500.0,12500.0,1,52,-5000.0,20000.0
300,325,4,29,1859,7,11,1859,1859,1,3,1,3,3.0,12500.0,2500.0,1,73,10000.0,15000.0
325,300,4,29,1859,7,11,1859,1859,3,1,3,1,1.0,2500.0,12500.0,1,73,-10000.0,15000.0
230,600,10,22,1859,3,25,1860,1859,1,3,1,3,1.0,4000.0,6000.0,2,155,-2000.0,10000.0
230,600,10,22,1859,3,25,1860,1860,1,3,1,3,1.0,4000.0,6000.0,1,155,-2000.0,10000.0
600,230,10,22,1859,3,25,1860,1859,3,1,3,1,3.0,6000.0,4000.0,2,155,2000.0,10000.0
600,230,10,22,1859,3,25,1860,1860,3,1,3,1,3.0,6000.0,4000.0,1,155,2000.0,10000.0
325,327,9,10,1860,9,29,1860,1860,1,3,1,3,1.0,300.0,700.0,1,19,-400.0,1000.0
327,325,9,10,1860,9,29,1860,1860,3,1,3,1,3.0,700.0,300.0,1,19,400.0,1000.0
325,329,11,3,1860,2,13,1861,1860,1,3,1,3,1.0,600.0,400.0,2,102,200.0,1000.0
325,329,11,3,1860,2,13,1861,1861,1,3,1,3,1.0,600.0,400.0,1,102,200.0,1000.0
329,325,11,3,1860,2,13,1861,1860,3,1,3,1,3.0,400.0,600.0,1,102,-200.0,1000.0
329,325,11,3,1860,2,13,1861,1861,3,1,3,1,3.0,400.0,600.0,2,102,-200.0,1000.0
70,220,5,5,1862,2,5,1867,1862,3,1,3,1,1.0,12000.0,8000.0,1,1737,4000.0,20000.0
70,220,5,5,1862,2,5,1867,1863,3,1,3,1,1.0,12000.0,8000.0,5,1737,4000.0,20000.0
70,220,5,5,1862,2,5,1867,1864,3,1,3,1,1.0,12000.0,8000.0,6,1737,4000.0,20000.0
70,220,5,5,1862,2,5,1867,1865,3,1,3,1,1.0,12000.0,8000.0,4,1737,4000.0,20000.0
70,220,5,5,1862,2,5,1867,1866,3,1,3,1,1.0,12000.0,8000.0,2,1737,4000.0,20000.0
70,220,5,5,1862,2,5,1867,1867,3,1,3,1,1.0,12000.0,8000.0,3,1737,4000.0,20000.0
220,70,5,5,1862,2,5,1867,1862,1,3,1,3,3.0,8000.0,12000.0,4,1737,-4000.0,20000.0
