statea,stateb,warstrtmnth,warstrtday,warstrtyr,warendmnth,warenday,warendyr,year,warolea,waroleb,wardyadrolea,wardyadroleb,outcomea,batdtha,batdthb,durindx,diff_in_days,diff_in_deaths,total_battle_dths
740,365,2,8,1904,7,7,1905,1904,1,3,1,3,1.0,80378.0,71453.0,2,515,8925.0,151831.0
740,365,2,8,1904,7,7,1905,1905,1,3,1,3,1.0,80378.0,71453.0,1,515,8925.0,151831.0
90,91,7,9,1906,7,17,1906,1906,3,2,3,1,1.0,400.0,300.0,1,8,100.0,700.0
91,90,7,9,1906,7,17,1906,1906,2,3,1,3,3.0,300.0,400.0,1,8,-100.0,700.0
90,92,7,9,1906,7,17,1906,1906,3,1,3,1,1.0,400.0,300.0,1,8,100.0,700.0
92,90,7,9,1906,7,17,1906,1906,1,3,1,3,3.0,300.0,400.0,1,8,-100.0,700.0
91,93,2,19,1907,4,23,1907,1907,3,1,3,1,3.0,300.0,400.0,1,63,-100.0,700.0
93,91,2,19,1907,4,23,1907,1907,1,3,1,3,1.0,400.0,300.0,1,63,100.0,700.0
92,93,3,18,1907,4,23,1907,1907,4,1,3,1,3.0,300.0,400.0,1,36,-100.0,700.0
93,92,3,18,1907,4,23,1907,1907,1,4,1,3,1.0,400.0,300.0,1,36,100.0,700.0
230,600,7,27,1909,3,23,1910,1909,3,1,3,1,1.0,2000.0,8000.0,2,239,-6000.0,10000.0
230,600,7,27,1909,3,23,1910,1910,3,1,3,1,1.0,2000.0,8000.0,1,239,-6000.0,10000.0
600,230,7,27,1909,3,23,1910,1909,1,3,1,3,3.0,8000.0,2000.0,1,239,6000.0,10000.0
600,230,7,27,1909,3,23,1910,1910,1,3,1,3,3.0,8000.0,2000.0,2,239,6000.0,10000.0
325,640,9,29,1911,10,18,1912,1911,1,3,1,3,1.0,6000.0,14000.0,2,385,-8000.0,20000.0
325,640,9,29,1911,10,18,1912,1912,1,3,1,3,1.0,6000.0,14000.0,1,385,-8000.0,20000.0
640,325,9,29,1911,10,18,1912,1911,3,1,3,1,3.0,14000.0,6000.0,1,385,8000.0,20000.0
640,325,9,29,1911,10,18,1912,1912,3,1,3,1,3.0,14000.0,6000.0,2,385,8000.0,20000.0
345,640,10,17,1912,4,19,1913,1912,1,3,1,3,1.0,15000.0,30000.0,2,184,-15000.0,45000.0
345,640,10,17,1912,4,19,1913,1913,1,3,1,3,1.0,15000.0,30000.0,1,184,-15000.0,45000.0
640,345,10,17,1912,4,19,1913,1912,3,1,3,1,3.0,30000.0,15000.0,1,184,15000.0,45000.0
640,345,10,17,1912,4,19,1913,1913,3,1,3,1,3.0,30000.0,15000.0,2,184,15000.0,45000.0
350,640,10,17,1912,4,19,1913,1912,2,3,1,3,1.0,5000.0,30000.0,1,184,-25000.0,35000.0
350,640,10,17,1912,4,19,1913,1913,2,3,1,3,1.0,5000.0,30000.0,2,184,-25000.0,35000.0
640,350,10,17,1912,4,19,1913,1912,3,2,3,1,3.0,30000.0,5000.0,2,184,25000.0,35000.0
640,350,10,17,1912,4,19,1913,1913,3,2,3,1,3.0,30000.0,5000.0,1,184,25000.0,35000.0
355,640,10,17,1912,4,19,1913,1912,2,3,1,3,1.0,5000.0,32000.0,1,184,-27000.0,37000.0
355,640,10,17,1912,4,19,1913,1913,2,3,1,3,1.0,5000.0,32000.0,2,184,-27000.0,37000.0
640,355,10,17,1912,4,19,1913,1912,3,2,3,1,3.0,32000.0,5000.0,1,184,27000.0,37000.0
640,355,10,17,1912,4,19,1913,1913,3,2,3,1,3.0,32000.0,5000.0,2,184,27000.0,37000.0
345,355,6,29,1913,7,30,1913,1913,3,1,3,1,1.0,18500.0,18000.0,1,31,500.0,36500.0
355,345,6,29,1913,7,30,1913,1913,1,3,1,3,3.0,18000.0,18500.0,1,31,-500.0,36500.0
350,355,6,29,1913,7,30,1913,1913,3,1,3,1,1.0,2500.0,18000.0,1,31,-15500.0,20500.0
355,350,6,29,1913,7,30,1913,1913,1,3,1,3,3.0,18000.0,2500.0,1,31,15500.0,20500.0
355,360,7,10,1913,7,30,1913,1913,1,4,3,1,3.0,18000.0,1500.0,1,20,16500.0,19500.0
360,355,7,10,1913,7,30,1913,1913,4,1,1,3,1.0,1500.0,18000.0,1,20,-16500.0,19500.0
355,640,7,15,1913,7,30,1913,1913,1,4,3,1,3.0,18000.0,20000.0,1,15,-2000.0,38000.0
640,355,7,15,1913,7,30,1913,1913,4,1,3,1,1.0,20000.0,18000.0,1,15,2000.0,38000.0
200,300,10,5,1915,11,3,1918,1915,4,2,3,1,1.0,908371.0,1200000.0,3,1125,-291629.0,2108371.0
200,300,10,5,1915,11,3,1918,1916,4,2,3,1,1.0,908371.0,1200000.0,1,1125,-291629.0,2108371.0
200,300,10,5,1915,11,3,1918,1917,4,2,3,1,1.0,908371.0,1200000.0,4,1125,-291629.0,2108371.0
200,300,10,5,1915,11,3,1918,1918,4,2,3,1,1.0,908371.0,1200000.0,2,1125,-291629.0,2108371.0
300,200,10,5,1915,11,3,1918,1915,2,4,1,3,3.0,1200000.0,908371.0,4,1125,291629.0,2108371.0
300,200,10,5,1915,11,3,1918,1916,2,4,1,3,3.0,1200000.0,908371.0,2,1125,291629.0,2108371.0
300,200,10,5,1915,11,3,1918,1917,2,4,1,3,3.0,1200000.0,908371.0,1,1125,291629.0,2108371.0
300,200,10,5,1915,11,3,1918,1918,2,4,1,3,3.0,1200000.0,908371.0,3,1125,291629.0,2108371.0
220,300,10,5,1915,11,3,1918,1915,4,2,3,1,1.0,1385000.0,1200000.0,3,1125,185000.0,2585000.0
220,300,10,5,1915,11,3,1918,1916,4,2,3,1,1.0,1385000.0,1200000.0,1,1125,185000.0,2585000.0
220,300,10,5,1915,11,3,1918,1917,4,2,3,1,1.0,1385000.0,1200000.0,2,1125,185000.0,2585000.0
220,300,10,5,1915,11,3,1918,1918,4,2,3,1,1.0,1385000.0,1200000.0,4,1125,185000.0,2585000.0
300,220,10,5,1915,11,3,1918,1915,2,4,1,3,3.0,1200000.0,1385000.0,4,1125,-185000.0,2585000.0
300,220,10,5,1915,11,3,1918,1916,2,4,1,3,3.0,1200000.0,1385000.0,2,1125,-185000.0,2585000.0
300,220,10,5,1915,11,3,1918,1917,2,4,1,3,3.0,1200000.0,1385000.0,1,1125,-185000.0,2585000.0
300,220,10,5,1915,11,3,1918,1918,2,4,1,3,3.0,1200000.0,1385000.0,3,1125,-185000.0,2585000.0
300,365,8,17,1914,8,27,1918,1914,2,4,3,1,1.0,1200000.0,1700000.0,3,1471,-500000.0,2900000.0
300,365,8,17,1914,8,27,1918,1915,2,4,3,1,1.0,1200000.0,1700000.0,2,1471,-500000.0,2900000.0
300,365,8,17,1914,8,27,1918,1916,2,4,3,1,1.0,1200000.0,1700000.0,4,1471,-500000.0,2900000.0
300,365,8,17,1914,8,27,1918,1917,2,4,3,1,1.0,1200000.0,1700000.0,5,1471,-500000.0,2900000.0
300,365,8,17,1914,8,27,1918,1918,2,4,3,1,1.0,1200000.0,1700000.0,1,1471,-500000.0,2900000.0
365,300,8,17,1914,8,27,1918,1914,4,2,1,3,3.0,1700000.0,1200000.0,1,1471,500000.0,2900000.0
365,300,8,17,1914,8,27,1918,1915,4,2,1,3,3.0,1700000.0,1200000.0,5,1471,500000.0,2900000.0
365,300,8,17,1914,8,27,1918,1916,4,2,1,3,3.0,1700000.0,1200000.0,2,1471,500000.0,2900000.0
365,300,8,17,1914,8,27,1918,1917,4,2,1,3,3.0,1700000.0,1200000.0,3,1471,500000.0,2900000.0
365,300,8,17,1914,8,27,1918,1918,4,2,1,3,3.0,1700000.0,1200000.0,4,1471,500000.0,2900000.0
300,360,8,27,1916,12,9,1917,1916,2,4,3,1,1.0,1200000.0,335706.0,1,469,864294.0,1535706.0
300,360,8,27,1916,12,9,1917,1917,2,4,3,1,1.0,1200000.0,335706.0,2,469,864294.0,1535706.0
360,300,8,27,1916,12,9,1917,1916,4,2,1,3,3.0,335706.0,1200000.0,1,469,-864294.0,1535706.0
360,300,8,27,1916,12,9,1917,1917,4,2,1,3,3.0,335706.0,1200000.0,2,469,-864294.0,1535706.0
255,360,8,27,1916,12,9,1917,1916,1,4,1,1,3.0,1773700.0,335706.0,2,469,1437994.0,2109406.0
255,360,8,27,1916,12,9,1917,1917,1,4,1,1,3.0,1773700.0,335706.0,1,469,1437994.0,2109406.0
360,255,8,27,1916,12,9,1917,1916,4,1,3,3,1.0,335706.0,1773700.0,1,469,-1437994.0,2109406.0
360,255,8,27,1916,12,9,1917,1917,4,1,3,3,1.0,335706.0,1773700.0,2,469,-1437994.0,2109406.0
300,350,6,27,1917,11,3,1918,1917,2,4,3,1,3.0,1200000.0,5000.0,2,494,1195000.0,1205000.0
300,350,6,27,1917,11,3,1918,1918,2,4,3,1,3.0,1200000.0,5000.0,1,494,1195000.0,1205000.0
350,300,6,27,1917,11,3,1918,1917,4,2,1,3,1.0,5000.0,1200000.0,2,494,-1195000.0,1205000.0
350,300,6,27,1917,11,3,1918,1918,4,2,1,3,1.0,5000.0,1200000.0,1,494,-1195000.0,1205000.0
255,350,6,27,1917,11,11,1918,1917,1,4,3,1,3.0,1773700.0,5000.0,2,502,1768700.0,1778700.0
255,350,6,27,1917,11,11,1918,1918,1,4,3,1,3.0,1773700.0,5000.0,1,502,1768700.0,1778700.0
350,255,6,27,1917,11,11,1918,1917,4,1,1,3,1.0,5000.0,1773700.0,2,502,-1768700.0,1778700.0
350,255,6,27,1917,11,11,1918,1918,4,1,1,3,1.0,5000.0,1773700.0,1,502,-1768700.0,1778700.0
300,345,8,12,1914,11,3,1918,1914,2,4,1,3,3.0,1200000.0,70000.0,1,1544,1130000.0,1270000.0
300,345,8,12,1914,11,3,1918,1915,2,4,1,3,3.0,1200000.0,70000.0,4,1544,1130000.0,1270000.0
300,345,8,12,1914,11,3,1918,1916,2,4,1,3,3.0,1200000.0,70000.0,5,1544,1130000.0,1270000.0
300,345,8,12,1914,11,3,1918,1917,2,4,1,3,1.0,1200000.0,70000.0,3,1544,1130000.0,1270000.0
300,345,8,12,1914,11,3,1918,1918,2,4,1,3,1.0,1200000.0,70000.0,2,1544,1130000.0,1270000.0
345,300,8,12,1914,11,3,1918,1914,4,2,3,1,3.0,70000.0,1200000.0,5,1544,-1130000.0,1270000.0
345,300,8,12,1914,11,3,1918,1915,4,2,3,1,3.0,70000.0,1200000.0,1,1544,-1130000.0,1270000.0
345,300,8,12,1914,11,3,1918,1916,4,2,3,1,1.0,70000.0,1200000.0,3,1544,-1130000.0,1270000.0
345,300,8,12,1914,11,3,1918,1917,4,2,3,1,1.0,70000.0,1200000.0,4,1544,-1130000.0,1270000.0
345,300,8,12,1914,11,3,1918,1918,4,2,3,1,1.0,70000.0,1200000.0,2,1544,-1130000.0,1270000.0
300,325,5,24,1915,11,3,1918,1915,2,4,3,1,3.0,1200000.0,650000.0,3,1259,550000.0,1850000.0
300,325,5,24,1915,11,3,1918,1916,2,4,3,1,3.0,1200000.0,650000.0,1,1259,550000.0,1850000.0
300,325,5,24,1915,11,3,1918,1917,2,4,3,1,3.0,1200000.0,650000.0,4,1259,550000.0,1850000.0
300,325,5,24,1915,11,3,1918,1918,2,4,3,1,3.0,1200000.0,650000.0,2,1259,550000.0,1850000.0
325,300,5,24,1915,11,3,1918,1915,4,2,1,3,1.0,650000.0,1200000.0,1,1259,-550000.0,1850000.0
325,300,5,24,1915,11,3,1918,1916,4,2,1,3,1.0,650000.0,1200000.0,4,1259,-550000.0,1850000.0
325,300,5,24,1915,11,3,1918,1917,4,2,1,3,1.0,650000.0,1200000.0,2,1259,-550000.0,1850000.0
325,300,5,24,1915,11,3,1918,1918,4,2,1,3,1.0,650000.0,1200000.0,3,1259,-550000.0,1850000.0
211,255,8,3,1914,11,11,1918,1914,3,1,3,1,1.0,13716.0,1773700.0,3,1561,-1759984.0,1787416.0
211,255,8,3,1914,11,11,1918,1915,3,1,3,1,1.0,13716.0,1773700.0,1,1561,-1759984.0,1787416.0
211,255,8,3,1914,11,11,1918,1916,3,1,3,1,1.0,13716.0,1773700.0,2,1561,-1759984.0,1787416.0
211,255,8,3,1914,11,11,1918,1917,3,1,3,1,1.0,13716.0,1773700.0,4,1561,-1759984.0,1787416.0
211,255,8,3,1914,11,11,1918,1918,3,1,3,1,1.0,13716.0,1773700.0,5,1561,-1759984.0,1787416.0
255,211,8,3,1914,11,11,1918,1914,1,3,1,3,3.0,1773700.0,13716.0,4,1561,1759984.0,1787416.0
255,211,8,3,1914,11,11,1918,1915,1,3,1,3,3.0,1773700.0,13716.0,3,1561,1759984.0,1787416.0
255,211,8,3,1914,11,11,1918,1916,1,3,1,3,3.0,1773700.0,13716.0,5,1561,1759984.0,1787416.0
255,211,8,3,1914,11,11,1918,1917,1,3,1,3,3.0,1773700.0,13716.0,1,1561,1759984.0,1787416.0
255,211,8,3,1914,11,11,1918,1918,1,3,1,3,3.0,1773700.0,13716.0,2,1561,1759984.0,1787416.0
2,255,6,27,1917,11,11,1918,1917,4,1,1,3,1.0,116516.0,1773700.0,1,502,-1657184.0,1890216.0
2,255,6,27,1917,11,11,1918,1918,4,1,1,3,1.0,116516.0,1773700.0,2,502,-1657184.0,1890216.0
255,2,6,27,1917,11,11,1918,1917,1,4,1,3,3.0,1773700.0,116516.0,2,502,1657184.0,1890216.0
255,2,6,27,1917,11,11,1918,1918,1,4,1,3,3.0,1773700.0,116516.0,1,502,1657184.0,1890216.0
200,255,8,23,1914,11,11,1918,1914,4,1,3,1,1.0,908371.0,1773700.0,2,1541,-865329.0,2682071.0
200,255,8,23,1914,11,11,1918,1915,4,1,3,1,1.0,908371.0,1773700.0,1,1541,-865329.0,2682071.0
200,255,8,23,1914,11,11,1918,1916,4,1,3,1,1.0,908371.0,1773700.0,3,1541,-865329.0,2682071.0
200,255,8,23,1914,11,11,1918,1917,4,1,3,1,1.0,908371.0,1773700.0,5,1541,-865329.0,2682071.0
200,255,8,23,1914,11,11,1918,1918,4,1,3,1,1.0,908371.0,1773700.0,4,1541,-865329.0,2682071.0
255,200,8,23,1914,11,11,1918,1914,1,4,1,3,3.0,1773700.0,908371.0,4,1541,865329.0,2682071.0
255,200,8,23,1914,11,11,1918,1915,1,4,1,3,3.0,1773700.0,908371.0,3,1541,865329.0,2682071.0
255,200,8,23,1914,11,11,1918,1916,1,4,1,3,3.0,1773700.0,908371.0,1,1541,865329.0,2682071.0
255,200,8,23,1914,11,11,1918,1917,1,4,1,3,3.0,1773700.0,908371.0,5,1541,865329.0,2682071.0
255,200,8,23,1914,11,11,1918,1918,1,4,1,3,3.0,1773700.0,908371.0,2,1541,865329.0,2682071.0
200,640,11,23,1914,10,30,1918,1914,4,2,3,1,1.0,908371.0,325000.0,1,1437,583371.0,1233371.0
200,640,11,23,1914,10,30,1918,1915,4,2,3,1,1.0,908371.0,325000.0,3,1437,583371.0,1233371.0
200,640,11,23,1914,10,30,1918,1916,4,2,3,1,1.0,908371.0,325000.0,5,1437,583371.0,1233371.0
200,640,11,23,1914,10,30,1918,1917,4,2,3,1,1.0,908371.0,325000.0,4,1437,583371.0,1233371.0
200,640,11,23,1914,10,30,1918,1918,4,2,3,1,1.0,908371.0,325000.0,2,1437,583371.0,1233371.0
640,200,11,23,1914,10,30,1918,1914,2,4,1,3,3.0,325000.0,908371.0,5,1437,-583371.0,1233371.0
640,200,11,23,1914,10,30,1918,1915,2,4,1,3,3.0,325000.0,908371.0,4,1437,-583371.0,1233371.0
640,200,11,23,1914,10,30,1918,1916,2,4,1,3,3.0,325000.0,908371.0,1,1437,-583371.0,1233371.0
640,200,11,23,1914,10,30,1918,1917,2,4,1,3,3.0,325000.0,908371.0,2,1437,-583371.0,1233371.0
640,200,11,23,1914,10,30,1918,1918,2,4,1,3,3.0,325000.0,908371.0,3,1437,-583371.0,1233371.0
220,640,2,5,1915,10,30,1918,1915,4,2,1,3,1.0,1385000.0,325000.0,2,1363,1060000.0,1710000.0
220,640,2,19,1915,10,30,1918,1916,4,2,1,3,1.0,1385000.0,325000.0,3,1349,1060000.0,1710000.0
220,640,2,19,1915,10,30,1918,1917,4,2,1,3,1.0,1385000.0,325000.0,1,1349,1060000.0,1710000.0
220,640,2,19,1915,10,30,1918,1918,4,2,1,3,1.0,1385000.0,325000.0,4,1349,1060000.0,1710000.0
640,220,2,19,1915,10,30,1918,1915,2,4,3,1,3.0,325000.0,1385000.0,3,1349,-1060000.0,1710000.0
640,220,2,19,1915,10,30,1918,1916,2,4,3,1,3.0,325000.0,1385000.0,2,1349,-1060000.0,1710000.0
640,220,2,19,1915,10,30,1918,1917,2,4,3,1,3.0,325000.0,1385000.0,1,1349,-1060000.0,1710000.0
640,220,2,19,1915,10,30,1918,1918,2,4,3,1,3.0,325000.0,1385000.0,4,1349,-1060000.0,1710000.0
220,255,8,7,1914,11,11,1918,1914,4,1,1,3,1.0,1385000.0,1773700.0,1,1557,-388700.0,3158700.0
220,255,8,7,1914,11,11,1918,1915,4,1,1,3,1.0,1385000.0,1773700.0,2,1557,-388700.0,3158700.0
220,255,8,7,1914,11,11,1918,1916,4,1,1,3,1.0,1385000.0,1773700.0,5,1557,-388700.0,3158700.0
220,255,8,7,1914,11,11,1918,1917,4,1,1,3,1.0,1385000.0,1773700.0,3,1557,-388700.0,3158700.0
220,255,8,7,1914,11,11,1918,1918,4,1,1,3,1.0,1385000.0,1773700.0,4,1557,-388700.0,3158700.0
255,220,8,7,1914,11,11,1918,1914,1,4,3,1,3.0,1773700.0,1385000.0,1,1557,388700.0,3158700.0
255,220,8,7,1914,11,11,1918,1915,1,4,3,1,3.0,1773700.0,1385000.0,3,1557,388700.0,3158700.0
255,220,8,7,1914,11,11,1918,1916,1,4,3,1,3.0,1773700.0,1385000.0,4,1557,388700.0,3158700.0
255,220,8,7,1914,11,11,1918,1917,1,4,3,1,3.0,1773700.0,1385000.0,2,1557,388700.0,3158700.0
255,220,8,7,1914,11,11,1918,1918,1,4,3,1,3.0,1773700.0,1385000.0,5,1557,388700.0,3158700.0
255,365,8,17,1914,8,27,1918,1914,1,4,3,1,1.0,1773700.0,1700000.0,3,1471,73700.0,3473700.0
255,365,8,17,1914,8,27,1918,1915,1,4,3,1,1.0,1773700.0,1700000.0,5,1471,73700.0,3473700.0
255,365,8,17,1914,8,27,1918,1916,1,4,3,1,1.0,1773700.0,1700000.0,2,1471,73700.0,3473700.0
255,365,8,17,1914,8,27,1918,1917,1,4,3,1,1.0,1773700.0,1700000.0,4,1471,73700.0,3473700.0
255,365,8,17,1914,8,27,1918,1918,1,4,3,1,1.0,1773700.0,1700000.0,1,1471,73700.0,3473700.0
365,255,8,17,1914,8,27,1918,1914,4,1,1,3,3.0,1700000.0,1773700.0,5,1471,-73700.0,3473700.0
365,255,8,17,1914,8,27,1918,1915,4,1,1,3,3.0,1700000.0,1773700.0,3,1471,-73700.0,3473700.0
365,255,8,17,1914,8,27,1918,1916,4,1,1,3,3.0,1700000.0,1773700.0,2,1471,-73700.0,3473700.0
365,255,8,17,1914,8,27,1918,1917,4,1,1,3,3.0,1700000.0,1773700.0,1,1471,-73700.0,3473700.0
365,255,8,17,1914,8,27,1918,1918,4,1,1,3,3.0,1700000.0,1773700.0,4,1471,-73700.0,3473700.0
255,345,10,5,1915,11,11,1918,1915,1,3,1,3,3.0,1773700.0,70000.0,3,1133,1703700.0,1843700.0
255,345,10,5,1915,11,11,1918,1916,1,3,1,3,3.0,1773700.0,70000.0,4,1133,1703700.0,1843700.0
255,345,10,5,1915,11,11,1918,1917,1,3,1,3,3.0,1773700.0,70000.0,2,1133,1703700.0,1843700.0
255,345,10,5,1915,11,11,1918,1918,1,3,1,3,3.0,1773700.0,70000.0,1,1133,1703700.0,1843700.0
345,255,10,5,1915,11,11,1918,1915,4,1,3,1,1.0,70000.0,1773700.0,3,1133,-1703700.0,1843700.0
345,255,10,5,1915,11,11,1918,1916,4,1,3,1,1.0,70000.0,1773700.0,4,1133,-1703700.0,1843700.0
345,255,10,5,1915,11,11,1918,1917,4,1,3,1,1.0,70000.0,1773700.0,2,1133,-1703700.0,1843700.0
345,255,10,5,1915,11,11,1918,1918,4,1,3,1,1.0,70000.0,1773700.0,1,1133,-1703700.0,1843700.0
365,640,12,29,1914,9,14,1918,1914,4,2,1,3,3.0,1700000.0,325000.0,3,1355,1375000.0,2025000.0
365,640,12,29,1914,9,14,1918,1915,4,2,1,3,3.0,1700000.0,325000.0,2,1355,1375000.0,2025000.0
365,640,12,29,1914,9,14,1918,1916,4,2,1,3,3.0,1700000.0,325000.0,4,1355,1375000.0,2025000.0
365,640,12,29,1914,9,14,1918,1917,4,2,1,3,3.0,1700000.0,325000.0,1,1355,1375000.0,2025000.0
365,640,12,29,1914,9,14,1918,1918,4,2,1,3,3.0,1700000.0,325000.0,5,1355,1375000.0,2025000.0
640,365,12,29,1914,9,14,1918,1914,2,4,3,1,1.0,325000.0,1700000.0,3,1355,-1375000.0,2025000.0
640,365,12,29,1914,9,14,1918,1915,2,4,3,1,1.0,325000.0,1700000.0,4,1355,-1375000.0,2025000.0
640,365,12,29,1914,9,14,1918,1916,2,4,3,1,1.0,325000.0,1700000.0,2,1355,-1375000.0,2025000.0
640,365,12,29,1914,9,14,1918,1917,2,4,3,1,1.0,325000.0,1700000.0,1,1355,-1375000.0,2025000.0
640,365,12,29,1914,9,14,1918,1918,2,4,3,1,1.0,325000.0,1700000.0,5,1355,-1375000.0,2025000.0
345,355,10,5,1915,9,29,1918,1915,4,2,3,1,1.0,70000.0,87500.0,3,1090,-17500.0,157500.0
345,355,10,5,1915,9,29,1918,1916,4,2,3,1,1.0,70000.0,87500.0,1,1090,-17500.0,157500.0
345,355,10,5,1915,9,29,1918,1917,4,2,3,1,1.0,70000.0,87500.0,2,1090,-17500.0,157500.0
345,355,10,5,1915,9,29,1918,1918,4,2,3,1,1.0,70000.0,87500.0,4,1090,-17500.0,157500.0
355,345,10,5,1915,9,29,1918,1915,2,3,1,3,3.0,87500.0,70000.0,1,1090,17500.0,157500.0
355,345,10,5,1915,9,29,1918,1916,2,3,1,3,3.0,87500.0,70000.0,2,1090,17500.0,157500.0
355,345,10,5,1915,9,29,1918,1917,2,3,1,3,3.0,87500.0,70000.0,3,1090,17500.0,157500.0
355,345,10,5,1915,9,29,1918,1918,2,3,1,3,3.0,87500.0,70000.0,4,1090,17500.0,157500.0
345,640,8,17,1916,10,30,1918,1916,4,2,3,1,1.0,70000.0,325000.0,3,804,-255000.0,395000.0
345,640,8,17,1916,10,30,1918,1917,4,2,3,1,1.0,70000.0,325000.0,2,804,-255000.0,395000.0
345,640,8,17,1916,10,30,1918,1918,4,2,3,1,1.0,70000.0,325000.0,1,804,-255000.0,395000.0
640,345,8,17,1916,10,30,1918,1916,2,4,1,3,1.0,325000.0,70000.0,3,804,255000.0,395000.0
640,345,8,17,1916,10,30,1918,1917,2,4,1,3,1.0,325000.0,70000.0,1,804,255000.0,395000.0
640,345,8,17,1916,10,30,1918,1918,2,4,1,3,1.0,325000.0,70000.0,2,804,255000.0,395000.0
200,355,10,5,1915,9,29,1918,1915,4,2,3,1,1.0,908371.0,87500.0,2,1090,820871.0,995871.0
200,355,10,5,1915,9,29,1918,1916,4,2,3,1,1.0,908371.0,87500.0,1,1090,820871.0,995871.0
200,355,10,5,1915,9,29,1918,1917,4,2,3,1,1.0,908371.0,87500.0,3,1090,820871.0,995871.0
200,355,10,5,1915,9,29,1918,1918,4,2,3,1,1.0,908371.0,87500.0,4,1090,820871.0,995871.0
355,200,10,5,1915,9,29,1918,1915,2,4,1,3,3.0,87500.0,908371.0,2,1090,-820871.0,995871.0
355,200,10,5,1915,9,29,1918,1916,2,4,1,3,3.0,87500.0,908371.0,3,1090,-820871.0,995871.0
355,200,10,5,1915,9,29,1918,1917,2,4,1,3,3.0,87500.0,908371.0,4,1090,-820871.0,995871.0
355,200,10,5,1915,9,29,1918,1918,2,4,1,3,3.0,87500.0,908371.0,1,1090,-820871.0,995871.0
220,355,10,5,1915,9,29,1918,1915,4,2,3,1,1.0,1385000.0,87500.0,2,1090,1297500.0,1472500.0
220,355,10,5,1915,9,29,1918,1916,4,2,3,1,1.0,1385000.0,87500.0,1,1090,1297500.0,1472500.0
220,355,10,5,1915,9,29,1918,1917,4,2,3,1,1.0,1385000.0,87500.0,3,1090,1297500.0,1472500.0
220,355,10,5,1915,9,29,1918,1918,4,2,3,1,1.0,1385000.0,87500.0,4,1090,1297500.0,1472500.0
355,220,10,5,1915,9,29,1918,1915,2,4,1,3,3.0,87500.0,1385000.0,3,1090,-1297500.0,1472500.0
355,220,10,5,1915,9,29,1918,1916,2,4,1,3,3.0,87500.0,1385000.0,4,1090,-1297500.0,1472500.0
355,220,10,5,1915,9,29,1918,1917,2,4,1,3,3.0,87500.0,1385000.0,1,1090,-1297500.0,1472500.0
355,220,10,5,1915,9,29,1918,1918,2,4,1,3,3.0,87500.0,1385000.0,2,1090,-1297500.0,1472500.0
325,355,8,11,1916,9,29,1918,1916,4,2,1,3,1.0,650000.0,87500.0,2,779,562500.0,737500.0
325,355,8,11,1916,9,29,1918,1917,4,2,1,3,1.0,650000.0,87500.0,1,779,562500.0,737500.0
325,355,8,11,1916,9,29,1918,1918,4,2,1,3,1.0,650000.0,87500.0,3,779,562500.0,737500.0
355,325,8,11,1916,9,29,1918,1916,2,4,3,1,3.0,87500.0,650000.0,1,779,-562500.0,737500.0
355,325,8,11,1916,9,29,1918,1917,2,4,3,1,3.0,87500.0,650000.0,3,779,-562500.0,737500.0
355,325,8,11,1916,9,29,1918,1918,2,4,3,1,3.0,87500.0,650000.0,2,779,-562500.0,737500.0
355,365,6,1,1916,12,15,1917,1916,2,4,3,1,1.0,87500.0,1700000.0,1,562,-1612500.0,1787500.0
355,365,6,1,1916,12,15,1917,1917,2,4,3,1,1.0,87500.0,1700000.0,2,562,-1612500.0,1787500.0
365,355,6,1,1916,12,15,1917,1916,4,2,1,3,3.0,1700000.0,87500.0,1,562,1612500.0,1787500.0
365,355,6,1,1916,12,15,1917,1917,4,2,1,3,3.0,1700000.0,87500.0,2,562,1612500.0,1787500.0
360,640,9,1,1916,12,9,1917,1916,4,2,3,1,3.0,335706.0,325000.0,1,464,10706.0,660706.0
360,640,9,1,1916,12,9,1917,1917,4,2,3,1,3.0,335706.0,325000.0,2,464,10706.0,660706.0
640,360,9,1,1916,12,9,1917,1916,2,4,1,3,1.0,325000.0,335706.0,1,464,-10706.0,660706.0
640,360,9,1,1916,12,9,1917,1917,2,4,1,3,1.0,325000.0,335706.0,2,464,-10706.0,660706.0
350,640,6,27,1917,10,30,1918,1917,4,2,1,3,1.0,5000.0,325000.0,2,490,-320000.0,330000.0
350,640,6,27,1917,10,30,1918,1918,4,2,1,3,1.0,5000.0,325000.0,1,490,-320000.0,330000.0
640,350,6,27,1917,10,30,1918,1917,2,4,3,1,3.0,325000.0,5000.0,2,490,320000.0,330000.0
640,350,6,27,1917,10,30,1918,1918,2,4,3,1,3.0,325000.0,5000.0,1,490,320000.0,330000.0
325,640,8,11,1916,10,30,1918,1916,4,2,1,3,1.0,650000.0,325000.0,3,810,325000.0,975000.0
325,640,8,11,1916,10,30,1918,1917,4,2,1,3,1.0,650000.0,325000.0,1,810,325000.0,975000.0
325,640,8,11,1916,10,30,1918,1918,4,2,1,3,1.0,650000.0,325000.0,2,810,325000.0,975000.0
640,325,8,11,1916,10,30,1918,1916,2,4,3,1,3.0,325000.0,650000.0,2,810,-325000.0,975000.0
640,325,8,11,1916,10,30,1918,1917,2,4,3,1,3.0,325000.0,650000.0,1,810,-325000.0,975000.0
640,325,8,11,1916,10,30,1918,1918,2,4,3,1,3.0,325000.0,650000.0,3,810,-325000.0,975000.0
