stateabb,statea,year,defensebudget,milsize,IronSteelProduct,EnergyUse,totalpop,urbanpop,CINC_Score_A,version_x,stateb,warstrtmnth,warstrtday,warstrtyr,warendmnth,warenday,warendyr,warolea,waroleb,wardyadrolea,wardyadroleb,outcomea,batdtha,batdthb,durindx,diff_in_days,diff_in_deaths,total_battle_dths,CINC_Score_B,version_y,diff_CINC
USA,2,1966,67572000.0,3090.0,121655.0,1784048.0,196560.0,50815.0,0.2086695,2011,816,2,7,1965,1,27,1973,1,3,1,3,1.0,58153.0,700000.0,3,2911,-641847.0,758153.0,0.0037038000000000006,2011,0.2049657
USA,2,1967,75448000.0,3380.0,115406.0,1903194.0,198712.0,50790.0,0.20854810000000001,2011,816,2,7,1965,1,27,1973,1,3,1,3,1.0,58153.0,700000.0,9,2911,-641847.0,758153.0,0.0048879,2011,0.2036602
USA,2,1968,80732000.0,3550.0,119262.0,2094353.0,200706.0,50765.0,0.20341189999999998,2011,816,2,7,1965,1,27,1973,1,3,1,3,1.0,58153.0,700000.0,6,2911,-641847.0,758153.0,0.0059306,2011,0.19748129999999997
USA,2,1969,81446000.0,3460.0,128152.0,2198902.0,202677.0,53117.0,0.19795079999999998,2011,816,2,7,1965,1,27,1973,1,3,1,3,1.0,58153.0,700000.0,7,2911,-641847.0,758153.0,0.006093899999999999,2011,0.1918569
USA,2,1970,77827008.0,3070.0,119309.0,2276904.0,205052.0,55468.0,0.1809692,2011,816,2,7,1965,1,27,1973,1,3,1,3,1.0,58153.0,700000.0,2,2911,-641847.0,758153.0,0.0050852,2011,0.17588399999999998
USA,2,1971,74862000.0,2720.0,109265.0,2311854.0,207661.0,55560.0,0.1699562,2011,816,2,7,1965,1,27,1973,1,3,1,3,1.0,58153.0,700000.0,1,2911,-641847.0,758153.0,0.0048762,2011,0.16508
USA,2,1972,77639000.0,2323.0,120875.0,2396418.0,209896.0,55652.0,0.1647432,2011,816,2,7,1965,1,27,1973,1,3,1,3,1.0,58153.0,700000.0,4,2911,-641847.0,758153.0,0.0059115,2011,0.15883170000000002
USA,2,1973,78385000.0,2206.0,136804.0,2490304.0,211909.0,55743.0,0.1588194,2011,816,2,7,1965,1,27,1973,1,3,1,3,1.0,58153.0,700000.0,8,2911,-641847.0,758153.0,0.0056838999999999995,2011,0.1531355
USA,2,1991,262389000.0,2110.0,79738.0,2827021.0,252618.0,64814.0,0.1372464,2011,645,1,16,1991,2,28,1991,4,1,1,3,1.0,376.0,40000.0,1,43,-39624.0,40376.0,0.008368899999999999,2011,0.12887749999999998
USA,2,1999,292147000.0,1490.0,97427.0,3161089.0,276218.0,70642.0,0.1426249,2011,345,3,24,1999,6,10,1999,1,3,1,3,1.0,2.0,5000.0,1,78,-4998.0,5002.0,0.0020397,2011,0.1405852
